Algorithm,SortKey,DatasetSize,TimeMillis
InsertionSort,SubmissionTime,100,0.13847142857142858
MergeSort,SubmissionTime,100,0.05218571428571428
QuickSort,SubmissionTime,100,0.09354285714285715
InsertionSort,SubmissionTime,500,1.5627857142857142
MergeSort,SubmissionTime,500,0.16125714285714288
QuickSort,SubmissionTime,500,0.1655285714285714
InsertionSort,SubmissionTime,1000,2.0052142857142856
MergeSort,SubmissionTime,1000,1.2144714285714286
QuickSort,SubmissionTime,1000,0.39084285714285716
InsertionSort,SubmissionTime,5000,58.011633333333336
MergeSort,SubmissionTime,5000,1.3052666666666668
QuickSort,SubmissionTime,5000,1.1487666666666667
InsertionSort,SubmissionTime,10000,131.28473333333332
MergeSort,SubmissionTime,10000,3.2890666666666664
QuickSort,SubmissionTime,10000,2.4765
InsertionSort,Urgency(dup-heavy),5000,23.696233333333332
MergeSort,Urgency(dup-heavy),5000,1.1011666666666668
QuickSort,Urgency(dup-heavy),5000,39.87826666666666
InsertionSort,NearlySorted,2000,0.4155285714285714
MergeSort,NearlySorted,2000,0.6272428571428572
QuickSort,NearlySorted,2000,0.6351
