Algorithm,SortKey,DatasetSize,TimeMillis
InsertionSort,SubmissionTime,100,0.1274
MergeSort,SubmissionTime,100,0.0758
QuickSort,SubmissionTime,100,0.10128571428571428
InsertionSort,SubmissionTime,500,0.797
MergeSort,SubmissionTime,500,0.08982857142857144
QuickSort,SubmissionTime,500,0.1074
InsertionSort,SubmissionTime,1000,2.9888714285714286
MergeSort,SubmissionTime,1000,1.316142857142857
QuickSort,SubmissionTime,1000,0.2694857142857143
InsertionSort,SubmissionTime,5000,36.041866666666664
MergeSort,SubmissionTime,5000,1.8924
QuickSort,SubmissionTime,5000,1.4458
InsertionSort,SubmissionTime,10000,134.15453333333332
MergeSort,SubmissionTime,10000,2.8602666666666665
QuickSort,SubmissionTime,10000,2.3744333333333336
InsertionSort,Urgency(dup-heavy),5000,14.926466666666666
MergeSort,Urgency(dup-heavy),5000,4.8858
QuickSort,Urgency(dup-heavy),5000,34.4982
InsertionSort,NearlySorted,2000,0.20042857142857143
MergeSort,NearlySorted,2000,0.2483142857142857
QuickSort,NearlySorted,2000,0.26052857142857144
