inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,45504,54360,10,71,1
100,random,search,67035,20867,10,71,1
100,random,delete,33910,10535,10,71,1
100,sorted,insert,76243,64455,99,71,1
100,sorted,search,66649,23581,99,71,1
100,sorted,delete,165932,13233,99,71,1
500,random,insert,146767,303339,18,641,5
500,random,search,44873,35759,18,641,5
500,random,delete,29954,43437,18,641,5
500,sorted,insert,1708183,238463,499,631,5
500,sorted,search,584275,26623,499,631,5
500,sorted,delete,295134,9437,499,631,5
1000,random,insert,334131,379172,19,1143,3
1000,random,search,47016,17365,19,1143,3
1000,random,delete,23898,4850,19,1143,3
1000,sorted,insert,2486255,345511,999,1203,3
1000,sorted,search,785613,15970,999,1203,3
1000,sorted,delete,658081,4640,999,1203,3
5000,random,insert,3380151,1071283,26,5180,4
5000,random,search,58576,27680,26,5180,4
5000,random,delete,34007,8930,26,5180,4
5000,sorted,insert,38400645,343692,4999,5275,4
5000,sorted,search,3005637,12792,4999,5275,4
5000,sorted,delete,278966,4977,4999,5275,4
10000,random,insert,3226131,1253653,31,8835,4
10000,random,search,70317,13840,31,8835,4
10000,random,delete,13450,3164,31,8835,4
10000,sorted,insert,153793977,567891,9998,9928,4
10000,sorted,search,5492025,10819,9998,9928,4
10000,sorted,delete,189003,4293,9998,9928,4
